,cameraLocation,cameraNumber,cameraProject,Location 1,latitude,longitude,neighborhood
99,Fleet St and S Broadway St (East),221,Broadway,"(39.284564000000003, -76.593260000000001)",39.284564,-76.59326,FellsPoint
100,Fleet St and S Ann St,222,Broadway,"(39.284725999999999, -76.591352999999998)",39.284726,-76.591353,FellsProspect
101,Fleet St and S Caroline St,223,Broadway,"(39.284424999999999, -76.596723999999995)",39.284425,-76.596724,HarborEast
102,Fleet St and S Eden St,224,Broadway,"(39.284345999999999, -76.598245000000006)",39.284346,-76.598245,HarborEast
103,S Broadway and Aliceanna St (East),225,Broadway,"(39.283534695712298, -76.593184769153595)",39.2835346957123,-76.5931847691536,FellsPoint
104,Aliceanna and Broadway (West),226,Broadway,"(39.283388308477349, -76.5944198688385)",39.28338830847735,-76.5944198688385,FellsPoint
105,ThamesSt and S Broadway,227,Broadway,"(39.281841, -76.593125000000001)",39.281841,-76.593125,ThamesStreet
106,2708 Berea Rd (rear),301,Cherry Hill,"(39.250638607403452, -76.632866403297797)",39.25063860740345,-76.6328664032978,CherryHill
107,1312 Shellbanks (rear),302,Cherry Hill,"(39.251197184331552, -76.631438758982554)",39.25119718433155,-76.63143875898255,CherryHill
108,Berea Rd and Slater Rd,303,Cherry Hill,"(39.250115999999998, -76.633009999999999)",39.250116,-76.63301,CherryHill
109,2711 Berea Rd. (rear),304,Cherry Hill,"(39.250272000000002, -76.632756000000001)",39.250272,-76.632756,CherryHill
110,ShellbanksRd and Blyden Rd,305,Cherry Hill,"(39.250484, -76.631866000000002)",39.250484,-76.631866,CherryHill
111,1301 Slater Rd. (rear),306,Cherry Hill,"(39.249631000000001, -76.632949999999994)",39.249631,-76.63295,CherryHill
112,Bldg1200 (rear),307,Cherry Hill,"(39.250543061206614, -76.631404906511307)",39.25054306120661,-76.6314049065113,CherryHill
113,Fisk Rd and Slater Rd,308,Cherry Hill,"(39.248756, -76.632199999999997)",39.248756,-76.6322,CherryHill
114,1201 Slater Rd (rear),309,Cherry Hill,"(39.249011000000003, -76.631996999999998)",39.249011,-76.631997,CherryHill
115,Giles Rd and Shellbanks Rd,310,Cherry Hill,"(39.249721000000001, -76.630346000000003)",39.249721,-76.630346,CherryHill
116,2701 Giles Rd (rear) and Shellbanks,311,Cherry Hill,"(39.249428669638661, -76.629800209298963)",39.24942866963866,-76.62980020929896,CherryHill
117,Sethlow Rd and Slater Rd,312,Cherry Hill,"(39.248398000000002, -76.630831000000001)",39.248398,-76.630831,CherryHill
118,Spelman Rd and Woodview Rd,313,Cherry Hill,"(39.248578999999999, -76.629266000000001)",39.248579,-76.629266,CherryHill
119,Woodview Rd and Round Rd,314,Cherry Hill,"(39.248612000000001, -76.628517000000002)",39.248612,-76.628517,CherryHill
120,Community Center (rear),315,Cherry Hill,"(39.248153355084071, -76.629756689071655)",39.24815335508407,-76.62975668907166,CherryHill
121,Community Center (rear),316,Cherry Hill,"(39.247172308883442, -76.629873686328978)",39.24717230888344,-76.62987368632898,CherryHill
122,Spelman Rd and Claflin Ct,317,Cherry Hill,"(39.247048999999997, -76.628801999999993)",39.247049,-76.628802,CherryHill
123,2822 Round Rd,318,Cherry Hill,"(39.246384231202612, -76.627666172059293)",39.24638423120261,-76.62766617205929,CherryHill
124,Spelman Rd and S Denham Cir,319,Cherry Hill,"(39.245922537637647, -76.62829926966279)",39.24592253763765,-76.62829926966279,CherryHill
125,2810 Denham Cr (side),320,Cherry Hill,"(39.245531977693837, -76.628935317859728)",39.24553197769384,-76.62893531785973,CherryHill
126,2822 Denham Cr (rear),321,Cherry Hill,"(39.244515154168433, -76.628793776035309)",39.24451515416843,-76.62879377603531,CherryHill
